study_word,test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
marble,,,,0,0,0,3,,,,,0.05878090002806857,,0.015268900024238974,0.05878090002806857,0.05878090002806857,4.211975700047333,1.032,4.1731655999901704,,,,,,,,,,,,,,,459175,001,2024-11-03_18h29.32.417,word priming,2024.1.5,None,2024-11-03 18h29.35.708430 +0530,
board,,,,0,1,1,4,,,,,4.241750800050795,,4.21617630001856,4.241750800050795,4.241750800050795,6.299675500020385,1.032,2.045788499992341,,,,,,,,,,,,,,,459175,001,2024-11-03_18h29.32.417,word priming,2024.1.5,None,2024-11-03 18h29.35.708430 +0530,
cushion,,,,0,2,2,1,,,,,6.341897500038613,,6.300256700022146,6.341897500038613,6.341897500038613,7.51637780002784,1.032,1.1645486000343226,,,,,,,,,,,,,,,459175,001,2024-11-03_18h29.32.417,word priming,2024.1.5,None,2024-11-03 18h29.35.708430 +0530,
cruise,,,,0,3,3,11,,,,,7.559280100045726,,7.516950300021563,7.559280100045726,7.559280100045726,8.733491400023922,1.032,1.1690273999702185,,,,,,,,,,,,,,,459175,001,2024-11-03_18h29.32.417,word priming,2024.1.5,None,2024-11-03 18h29.35.708430 +0530,
laptop,,,,0,4,4,5,,,,,8.775680700025987,,8.73409189999802,8.775680700025987,8.775680700025987,10.033358100045007,1.032,1.2505718999891542,,,,,,,,,,,,,,,459175,001,2024-11-03_18h29.32.417,word priming,2024.1.5,None,2024-11-03 18h29.35.708430 +0530,
keys,,,,0,5,5,13,,,,,10.09255680005299,,10.034022800042294,10.09255680005299,10.09255680005299,12.333689699997194,1.032,2.2485162999946624,,,,,,,,,,,,,,,459175,001,2024-11-03_18h29.32.417,word priming,2024.1.5,None,2024-11-03 18h29.35.708430 +0530,
mouse,,,,0,6,6,8,,,,,12.375590200012084,,12.334504000027664,12.375590200012084,12.375590200012084,13.54985690000467,1.032,1.1686696999822743,,,,,,,,,,,,,,,459175,001,2024-11-03_18h29.32.417,word priming,2024.1.5,None,2024-11-03 18h29.35.708430 +0530,
pastry,,,,0,7,7,9,,,,,13.59284050000133,,13.55042450001929,13.59284050000133,13.59284050000133,14.616616800019983,1.032,1.0177038999972865,,,,,,,,,,,,,,,459175,001,2024-11-03_18h29.32.417,word priming,2024.1.5,None,2024-11-03 18h29.35.708430 +0530,
t-shirt,,,,0,8,8,7,,,,,14.659303300024476,,14.61724089999916,14.659303300024476,14.659303300024476,15.68405320000602,1.032,1.0155228999792598,,,,,,,,,,,,,,,459175,001,2024-11-03_18h29.32.417,word priming,2024.1.5,None,2024-11-03 18h29.35.708430 +0530,
poster,,,,0,9,9,14,,,,,15.725945500016678,,15.684686100052204,15.725945500016678,15.725945500016678,16.8155434000073,1.032,1.083885400032159,,,,,,,,,,,,,,,459175,001,2024-11-03_18h29.32.417,word priming,2024.1.5,None,2024-11-03 18h29.35.708430 +0530,
