study_word,test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
t-shirt,,,,0,0,0,7,,,,,0.03952469996875152,,0.008366799971554428,0.03952469996875152,0.03952469996875152,6.880973899969831,1.3055555555555556,6.847739299992099,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
cruise,,,,0,1,1,11,,,,,6.90365589997964,,6.881306099996436,6.90365589997964,6.90365589997964,8.214324899949133,1.3055555555555556,1.3102717000292614,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
phone,,,,0,2,2,2,,,,,8.236808999965433,,8.214546499948483,8.236808999965433,8.236808999965433,10.047828599985223,1.3055555555555556,1.8103739999933168,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
mouse,,,,0,3,3,8,,,,,10.063281899958383,,10.048079299973324,10.063281899958383,10.063281899958383,11.514076599967666,1.3055555555555556,1.4443658999516629,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
cushion,,,,0,4,4,1,,,,,11.532575099961832,,11.514302800002042,11.532575099961832,11.532575099961832,12.664370799961034,1.3055555555555556,1.1286840999964625,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
board,,,,0,5,5,4,,,,,12.681279099953827,,12.664596899994649,12.681279099953827,12.681279099953827,15.931314399989787,4.416666666666667,3.2438105000182986,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
keys,,,,0,6,6,13,,,,,15.948337999987416,,15.9315422999789,15.948337999987416,15.948337999987416,18.614399099955335,4.689814814814815,2.6623951999936253,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
poster,,,,0,7,7,14,,,,,18.62955809995765,,18.61462979996577,18.62955809995765,18.62955809995765,20.34158439998282,4.689814814814815,1.7002807999961078,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
police,,,,0,8,8,12,,,,,20.377855199971236,,20.34217679995345,20.377855199971236,20.377855199971236,22.539360099995974,1.5092592592592593,2.1620212999987416,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
pastry,,,,0,9,9,9,,,,,22.576470599975437,,22.539962999988347,22.576470599975437,22.576470599975437,23.714060699974652,1.5092592592592593,1.1434834999963641,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
marble,,,,0,10,10,3,,,,,23.732466899964493,,23.71428419998847,23.732466899964493,23.732466899964493,26.264467599976342,4.351851851851852,2.528704199998174,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
case,,,,0,11,11,10,,,,,26.28271269996185,,26.264701999956742,26.28271269996185,26.28271269996185,28.597730299981777,4.361111111111111,2.312099799979478,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
book,,,,0,12,12,0,,,,,28.613297499949113,,28.597982099978253,28.613297499949113,28.613297499949113,31.297598199977074,1.3564814814814814,2.6820961000048555,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
laptop,,,,0,13,13,5,,,,,31.31606769998325,,31.29782759997761,31.31606769998325,31.31606769998325,33.41434409999056,1.7314814814814814,2.0986517000128515,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
chart,,,,0,14,14,6,,,,,33.43215369997779,,33.414571499975864,33.43215369997779,33.43215369997779,35.464423199999146,4.180555555555555,2.0286069000139832,,,,,,,,,,,,,,,824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,p_nc_l,pencil,new,,,,,0,0,0,16,35.48244959994918,,,,,,,,35.470099499973,35.48244959994918,35.48244959994918,35.48244959994918,0.008316499995999038,45.46478019998176,i,[],[],[],[],[],[],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,k_y_,keys,old,,,,,0,1,1,8,45.48900010000216,,,,,,,,45.46692139998777,45.48900010000216,45.48900010000216,45.48900010000216,0.007061300042551011,50.88295719999587,keys,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[5.41011910000816],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,p_st_y,pastry,old,,,,,0,2,2,4,50.90531760000158,,,,,,,,50.88422069995431,50.90531760000158,50.90531760000158,50.90531760000158,0.004606500035151839,51.47904710000148,,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[0.5899178999825381],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,l_pt_p,laptop,old,,,,,0,3,3,0,51.49477689998457,,,,,,,,51.47957389999647,51.49477689998457,51.49477689998457,51.49477689998457,0.0020120000117458403,52.679645899974275,,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[1.1977110999869183],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,_a_bl_,marble,old,,,,,0,4,4,11,52.69498059997568,,,,,,,,52.68017169996165,52.69498059997568,52.69498059997568,52.69498059997568,0.001990299962926656,57.799942999961786,"aptop
",[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[5.116949199989904],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,v_s_,vase,new,,,,,0,5,5,17,57.82764029997634,,,,,,,,57.80138029996306,57.82764029997634,57.82764029997634,57.82764029997634,0.010223499964922667,63.96447419998003,isa,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[6.1521228000056],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,bo_t_e,bottle,new,,,,,0,6,6,18,63.983280699991155,,,,,,,,63.965538699994795,63.983280699991155,63.983280699991155,63.983280699991155,0.004278099979273975,66.41644839994842,,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[2.445922899991274],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,_ha_t,chart,old,,,,,0,7,7,1,66.4409389999928,,,,,,,,66.4180636999663,66.4409389999928,66.4409389999928,66.4409389999928,0.005511299998033792,67.53196870000102,,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[1.10779439995531],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,c_s_,case,old,,,,,0,8,8,5,67.55713019997347,,,,,,,,67.53324159997283,67.55713019997347,67.55713019997347,67.55713019997347,0.004300300031900406,74.41546779999044,case,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[6.877082100021653],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,p_li_c,police,old,,,,,0,9,9,7,74.43813099997351,,,,,,,,74.41665429994464,74.43813099997351,74.43813099997351,74.43813099997351,0.004474300018046051,78.41965779999737,police,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[3.997507599997334],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,_ou_e,mouse,old,,,,,0,10,10,3,78.44386040000245,,,,,,,,78.42098369996529,78.44386040000245,78.44386040000245,78.44386040000245,0.005265399988275021,82.00030919996789,mouse,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[3.573030400031712],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,p_st_r,poster,old,,,,,0,11,11,9,82.02450289996341,,,,,,,,82.00160209997557,82.02450289996341,82.02450289996341,82.02450289996341,0.00533959997119382,85.80085609998787,poster,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[3.7930261000292376],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,_oo_,book,old,,,,,0,12,12,13,85.82430529996054,,,,,,,,85.80215649999445,85.82430529996054,85.82430529996054,85.82430529996054,0.004619199957232922,89.96588609996252,cool,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[4.158455699973274],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,_o_rd,board,old,,,,,0,13,13,10,89.99005819996819,,,,,,,,89.9674780999776,89.99005819996819,89.99005819996819,89.99005819996819,0.005052900000009686,93.63219659996685,board,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[3.659348500019405],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,c_m_ra,camera,new,,,,,0,14,14,19,93.65497709996998,,,,,,,,93.63347729999805,93.65497709996998,93.65497709996998,93.65497709996998,0.0055469999788329005,97.21722029999364,camera,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[3.5774475000216626],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,c_s_io_,cushion,old,,,,,0,15,15,14,97.24273040000116,,,,,,,,97.21864149998873,97.24273040000116,97.24273040000116,97.24273040000116,0.005381799943279475,100.84933539998019,casino,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[3.6242771000252105],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,_ho_e,phone,old,,,,,0,16,16,12,100.87459899997339,,,,,,,,100.85055159998592,100.87459899997339,100.87459899997339,100.87459899997339,0.005244700005277991,104.83267619996332,shoes,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[3.976158800011035],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,t_hi_t,tshirt,old,,,,,0,17,17,2,104.85826019995147,,,,,,,,104.83399889996508,104.85826019995147,104.85826019995147,104.85826019995147,0.006204199977219105,110.98267189995386,tshirt,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[6.141546600032598],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,_ru_s_,cruise,old,,,,,0,18,18,6,111.00652809999883,,,,,,,,110.98395409999648,111.00652809999883,111.00652809999883,111.00652809999883,0.005046500009484589,116.19902619998902,brush,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[5.209037400025409],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
,ta_l_,table,new,,,,,0,19,19,15,116.22335329995258,,,,,,,,116.20019609999144,116.22335329995258,116.22335329995258,116.22335329995258,0.005167899944353849,124.3666081999545,talk,[0.2951388888888889],[-0.2951388888888889],[1],[0],[0],[8.160497899982147],[],824153,001,2024-11-03_18h42.21.523,word priming,2024.1.5,None,2024-11-03 18h42.24.320592 +0530,
